HLA-DRB4 HLA-DRB4 1.0
HLA-DQA1 HLA-DRB4 -0.6813250470309283
HLA-DQB1 HLA-DRB4 -0.8715946687067998
IL1R2 HLA-DRB4 -0.27049508520826265
IL32 HLA-DRB4 0.38519127218026944
FCER1A HLA-DRB4 0.4853978537975865
IL8 HLA-DRB4 0.9788034524240584
LTF HLA-DRB4 -0.3356625471140728
ARG1 HLA-DRB4 -0.3446601521407339
EGR1 HLA-DRB4 -0.027520938167459843
CHIT1 HLA-DRB4 -0.23381063336797475
CEACAM6 HLA-DRB4 -0.27421179552876573
PTGS2 HLA-DRB4 0.9292666902110461
PTGDR2 HLA-DRB4 0.4465658159293042
IL3RA HLA-DRB4 0.9710291112353339
FLT3 HLA-DRB4 -0.41695679333079494
CEACAM8 HLA-DRB4 -0.33629408973133534
IDO1 HLA-DRB4 -0.08762103481097917
FN1 HLA-DRB4 -0.38057692820398376
FOS HLA-DRB4 0.6947075585383217
C3AR1 HLA-DRB4 -0.5616691443417144
EGR2 HLA-DRB4 0.3337809891149719
USP9Y HLA-DRB4 -0.25104832690643475
C1QB HLA-DRB4 -0.5461114148371513
LCN2 HLA-DRB4 -0.18150882725324263
CXCL1 HLA-DRB4 0.8822594985201239
CTSG HLA-DRB4 -0.27059283412335844
SPACA3 HLA-DRB4 -0.31259253059609543
CD27 HLA-DRB4 -0.34693186504552137
CAMP HLA-DRB4 -0.2690656480398727
LRRN3 HLA-DRB4 -0.11080326175649212
IL1R1 HLA-DRB4 -0.0013206585998389879
SLC11A1 HLA-DRB4 0.02361844609750615
F2RL1 HLA-DRB4 0.2573921321732589
SERPING1 HLA-DRB4 -0.068966640309779
TCF7 HLA-DRB4 -0.31572252603450424
HLA-DRB4 HLA-DQA1 -0.6813250470309283
HLA-DQA1 HLA-DQA1 1.0
HLA-DQB1 HLA-DQA1 0.8045228418073844
IL1R2 HLA-DQA1 -0.453692845449458
IL32 HLA-DQA1 -0.337471058979657
FCER1A HLA-DQA1 0.25589507957144836
IL8 HLA-DQA1 -0.6718843773751402
LTF HLA-DQA1 -0.25981502108840676
ARG1 HLA-DQA1 -0.35516919576353406
EGR1 HLA-DQA1 -0.5470973512849214
CHIT1 HLA-DQA1 -0.267603533735057
CEACAM6 HLA-DQA1 -0.28379290467461615
PTGS2 HLA-DQA1 -0.8743060929268598
PTGDR2 HLA-DQA1 0.08038105905397612
IL3RA HLA-DQA1 -0.5027607704517182
FLT3 HLA-DQA1 -0.2312300781104198
CEACAM8 HLA-DQA1 -0.2514421107913838
IDO1 HLA-DQA1 0.7642627099651976
FN1 HLA-DQA1 -0.046787423596051154
FOS HLA-DQA1 -0.9234351790395362
C3AR1 HLA-DQA1 0.23066088484706704
EGR2 HLA-DQA1 -0.4854896435367839
USP9Y HLA-DQA1 -0.15532989384280477
C1QB HLA-DQA1 0.6315272766720164
LCN2 HLA-DQA1 -0.4118535802561707
CXCL1 HLA-DQA1 -0.929945744996344
CTSG HLA-DQA1 -0.36863823316933436
SPACA3 HLA-DQA1 -0.08950998711701878
CD27 HLA-DQA1 0.8664078890519684
CAMP HLA-DQA1 -0.3155713644727385
LRRN3 HLA-DQA1 0.6178096358203882
IL1R1 HLA-DQA1 -0.495843997750956
SLC11A1 HLA-DQA1 -0.7305502708189515
F2RL1 HLA-DQA1 -0.859957477856094
SERPING1 HLA-DQA1 0.7110173106787087
TCF7 HLA-DQA1 0.8820714782861175
